"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Analysis of Thermal Processes Driving Laser Welding of Aluminum Deposited on Glass Substrates for Module Interconnection of Silicon Solar Cells","H. Schulte-Huxel; S. Kajari-Schröder; R. Brendel","Institute for Solar Energy Research Hamelin, Emmerthal, Germany; Institute for Solar Energy Research Hamelin, Emmerthal, Germany; Institute for Solar Energy Research Hamelin, Emmerthal, Germany","IEEE Journal of Photovoltaics","20 May 2017","2015","5","6","1606","1612","Laser welding of thin Al layers offers a silver-free and highly flexible option for the interconnection of Al-metallized solar cells. Welding requires the melting of the Al layers in order to form a reliable electrical and mechanical contact. Here, we investigate the process driving the melt front of the aluminum, which is attached to a transparent substrate, toward the interface between the two Al layers. In experiments, we observe two different mechanisms depending on the thickness of the irradiated layer. In the case of Al layers thinner than 5 μm, a melt-through of the Al-layer is observed, whereas for thicker layers, thermal expansion causes a breakage of the surface and ejection of molten Al, which enables the contact formation. Using simulations that are based on the finite-element method, we instigate both mechanisms. The simulation results match the experimental observations within the measurement uncertainty. In case of thin layers, the simulation shows that the process is limited by thermal diffusion. For thicker Al layers, the onset of melting on the irradiated side initiates the breakage of the surface and the ejection of the aluminum.","2156-3403","","10.1109/JPHOTOV.2015.2478027","State of Lower Saxony, Germany; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7296574","Al metallization;cell interconnection;finite-element method (FEM) simulations;laser processing;module integration;Al metallization;cell interconnection;finite-element method (FEM) simulations;laser processing;module integration","Glass;Finite element analysis;Aluminum;Welding;Surface morphology;Surface treatment;Metallization","aluminium;electrical contacts;elemental semiconductors;finite element analysis;integrated circuit interconnections;laser beam welding;mechanical contact;melting;semiconductor device metallisation;semiconductor device models;silicon;solar cells;thermal diffusivity;thermal expansion","laser welding;glass substrates;module interconnection;silicon solar cells;melting;electrical contact;mechanical contact;transparent substrate;thermal expansion;finite-element method;measurement uncertainty;thermal diffusion;Al-Si;SiO2","","3","","17","IEEE","12 Oct 2015","","","IEEE","IEEE Journals"
"Self-Adaptive Radiative Cooler for Maximizing Year-Round Energy Saving of households","J. Li; K. Tang; K. Dong; M. P. Gordon; F. G. Reichertz; H. Kim; Y. Rho; Q. Wang; C. -Y. Lin; C. P. Grigoropoulos; A. Javey; J. J. Urban; J. Yao; R. Levinson; J. Wu","Applied Science and Technology Graduate Group, University of California, Berkeley, CA, USA; Key Laboratory of Microelectronic Devices and Circuits (MOE), School of Integrated Circuits, Peking University, Beijing, P. R. China; Division of Materials Sciences, Lawrence Berkeley National Laboratory, Berkeley, CA, USA; The Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, CA, USA; East Bay Innovation Academy, Oakland, CA, USA; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, USA; Department of Mechanical Engineering, University of California, Berkeley, CA, USA; Division of Materials Sciences, Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Department of Materials Science and Engineering, University of California, Berkeley, CA, USA; Department of Mechanical Engineering, University of California, Berkeley, CA, USA; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, USA; The Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Division of Materials Sciences, Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Lawrence Berkeley National Laboratory, Heat Island Group, Berkeley, CA, USA; Applied Science and Technology Graduate Group, University of California, Berkeley, CA, USA","2022 Conference on Lasers and Electro-Optics (CLEO)","23 Sep 2022","2022","","","1","2","We present an approach to household thermal regulation and energy saving from an all-season perspective by developing a mechanically flexible and energy-free coating that automatically adapts its thermal emittance to different ambient temperatures.","2160-8989","978-1-957171-05-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9889847","(160.3918) Metamaterials;(290.6815) Thermal emission","Space vehicles;Energy consumption;Electric potential;Regulation;Coatings;Laser transitions;Laser beam cutting","","","","","","9","","23 Sep 2022","","","IEEE","IEEE Conferences"
"Flexible optical waveguide film fabrications and optoelectronic devices integration for fully embedded board-level optical interconnects","C. Choi; L. Lin; Yujie Liu; Jinho Choi; Li Wang; D. Haas; J. Magera; R. T. Chen","University of Texas, Austin, Austin, TX, USA; University of Texas, Austin, Austin, TX, USA; University of Texas, Austin, Austin, TX, USA; University of Texas, Austin, Austin, TX, USA; NA; Sanmina-SCI Corporation, Owego, NY, USA; Sanmina-SCI Corporation, Owego, NY, USA; University of Texas, Austin, Austin, TX, USA","Journal of Lightwave Technology","13 Sep 2004","2004","22","9","2168","2176","This paper demonstrates a flexible optical waveguide film with integrated optoelectronic devices (vertical-cavity surface-emitting laser (VCSEL) and p-i-n photodiode arrays) for fully embedded board-level optical interconnects. The optical waveguide circuit with 45/spl deg/ micromirror couplers was fabricated on a thin flexible polymeric substrate by soft molding. The 45/spl deg/ couplers were fabricated by cutting the waveguide with a microtome blade. The waveguide core material was SU-8 photoresist, and the cladding was cycloolefin copolymer. A thin VCSEL and p-i-n photodiode array were directly integrated on the waveguide film. Measured propagation loss of a waveguide was 0.6 dB/cm at 850 nm.","1558-2213","","10.1109/JLT.2004.833815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333117","","Optical films;Optical interconnections;Optical waveguides;Integrated optics;Optical devices;Optical device fabrication;Optoelectronic devices;Vertical cavity surface emitting lasers;Optical polymers;PIN photodiodes","optical waveguides;optical fabrication;optical films;integrated optoelectronics;optical interconnections;surface emitting lasers;p-i-n photodiodes;optical arrays;micromirrors;optical couplers;optical polymers;moulding;photoresists;claddings;polymer blends;optical losses","optical waveguide film fabrication;optoelectronic devices integration;embedded board-level optical interconnects;vertical-cavity surface-emitting laser;VCSEL;p-i-n photodiode arrays;45/spl deg/ micromirror couplers;thin flexible polymeric substrate;soft molding;microtome blade;SU-8 photoresist;cladding;cycloolefln copolymer;propagation loss","","118","2","30","","13 Sep 2004","","","IEEE","IEEE Journals"
"An Objective-Flexible Clustering Algorithm for task mapping and scheduling on cluster-based NoC","F. Fangfa; B. Yuxin; H. Xin'an; W. Jinxiang; Y. Minyan; Z. Jia","Mirco-electronic center, Harbin Institute of Technology, Harbin, China; Mirco-electronic center, Harbin Institute of Technology, Harbin, China; Harbin Institute of Technology, Harbin, Heilongjiang, CN; Mirco-electronic center, Harbin Institute of Technology, Harbin, China; Mirco-electronic center, Harbin Institute of Technology, Harbin, China; Mirco-electronic center, Harbin Institute of Technology, Harbin, China","2010 Academic Symposium on Optoelectronics and Microelectronics Technology and 10th Chinese-Russian Symposium on Laser Physics and Laser TechnologyOptoelectronics Technology (ASOT)","1 Nov 2010","2010","","","369","373","An Objective-Flexible Clustering Algorithm (OFCA), which is applicable to multiple design objectives and targets high performance and low energy task mapping and scheduling on homogenous cluster-based NoC, is presented. OFCA employs a lineal clustering to group tasks into clusters, and utilizes an efficient heuristic task mapping process to allocate ready clusters onto the platform. Then a low latency pipeline-based static task scheduling stage is proposed to arrange task sequence in IP cores. Finally a best hardware resource demand for the application could be predicted for reference. OFCA can fully exploit the parallel characteristics within task graphs to minimize inter-cluster communication and limit copying tasks when clustering to reduce extra execution energy. It also controls the use of task-duplication-technique (TDT) by setting different parameters for flexible goals to make a compromise between energy and latency. Experiments show that objectives can be adjusted via different parameter ratios performing OFCA and 57% energy savings on average can be achieved compared to CM Algorithm when employed to streaming applications of 18, 36, and 40 tasks.","","978-1-4244-5513-3","10.1109/RCSLPLT.2010.5615317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5615317","Network-on-Chip;Mapping;Task Scheduling;Clustering","Clustering algorithms;IP networks;Scheduling;Energy consumption;Computer architecture;Processor scheduling;Color","integrated circuit design;network-on-chip;scheduling","objective-flexible clustering algorithm;task scheduling;network-on-chip;cluster-based NoC;low energy task mapping;inter-cluster communication;task-duplication-technique","","5","","13","","1 Nov 2010","","","IEEE","IEEE Conferences"
"The Design and Implement of 3D Terrain Matching Processor for Image Laser Radar","J. Gong; Y. Sun; H. Xu; J. Tian","State Key Laboratory for Multi spectral Information Processing Technologies, Institute for Pattern Recognition and Artificial Intelligence, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory for Multi spectral Information Processing Technologies, Institute for Pattern Recognition and Artificial Intelligence, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory for Multi spectral Information Processing Technologies, Institute for Pattern Recognition and Artificial Intelligence, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory for Multi spectral Information Processing Technologies, Institute for Pattern Recognition and Artificial Intelligence, Huazhong University of Science and Technology, Wuhan, China","2008 Congress on Image and Signal Processing","16 Jul 2008","2008","2","","582","586","The imaging laser radar is fine measure equipment for TAN with the ability to get the high precision 3D terrain. A 3D terrain matching processor was needed to be designed for the specifical application. In this paper, base on the specialty of the imaging laser radar, the3D terrain matching processor was designed, with scheme of  DSP+FPGA calculating engine, multi-level memory system, flexible parallel architecture, and  FPGA-embedded accelerators. A parallel correlating accelerator base on 2D modular systolic array and other structures were designed to improve the system performance in FPGA. In the end, with strictly abiding the rules of high-speed circuit designing, the detail physical implement was drawn out. The experiments showed that the system could work well in the harsh military environment with high real-time, high reliability, and flexible architecture.","","978-0-7695-3119-9","10.1109/CISP.2008.735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4566370","Image Laser Radar;DSP;Hardware Design","Laser radar;Optical design;Radar imaging;Radar equipment;Radar measurements;Process design;Engines;Parallel architectures;Systolic arrays;System performance","","","","","","7","","16 Jul 2008","","","IEEE","IEEE Conferences"
"Pluggable Optical Board Interconnection System With Flexible Polymeric Waveguides","S. -H. Ahn; I. -K. Cho; B. -H. Rhee; M. -S. Lee","Electronics and Telecommunications Research Institute, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea; ISU Petasys Company Limited, Daegu, South Korea; Information and Communications University, Daejeon, South Korea","IEEE Photonics Technology Letters","14 Mar 2008","2008","20","8","572","574","Pluggable optical board interconnection system using flexible optical waveguide for direct-coupling to reduce the transmission loss is proposed and demonstrated. For the direct coupling between waveguides of boards, we use optical plug and adaptor with flexible polymeric waveguide and guide pins. Flexible polymeric optical waveguide is fabricated using hot embossing technique. Eye pattern and jitter characteristics of the backplane system is presented at 10 Gb/s.","1941-0174","","10.1109/LPT.2008.918876","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4472038","Optical interconnect;polymeric waveguide;printed circuit board","Optical polymers;Optical waveguides;Optical interconnections;Optical losses;Propagation losses;Optical coupling;Plugs;Pins;Embossing;Jitter","jitter;optical waveguides;power system interconnection","pluggable optical board interconnection system;flexible polymeric waveguides;direct coupling;adaptor;guide pins;hot embossing;eye pattern;jitter;backplane system","","5","1","13","","14 Mar 2008","","","IEEE","IEEE Journals"
"Water-based 2D-crystal Inks: From formulation engineering to printed devices","C. Casiraghi","School of Chemistry, University of Manchester, Manchester, UK","2017 75th Annual Device Research Conference (DRC)","3 Aug 2017","2017","","","1","2","The electronics industry has been dominated by metals and complementary metal-oxide-semiconductor (CMOS) technology. However, constraints related to materials choice clearly appear in transparent and flexible electronics, heat management and rapid customisation - all of which present challenges to traditional fabrication methods. As a consequence of this need, the field of printable electronics has initially developed after the introduction of conductive polymers, allowing simple, versatile, and low cost techniques, such as inkjet printing, to be used for manufacturing of functional devices [1-2]. The advent of 2-Dimensional (2D) materials [3] show promise in this regard as they can be easily solution processed by using a mass scalable and low cost method, called Liquid-Phase Exfoliation [4]. 2D materials shows great promise for use in flexible electronics because their atomic thickness allows for maximum electrostatic control, optical transparency, sensitivity and mechanical flexibility [5]. In addition, different 2D crystals can be easily combined in one stack, offering unprecedented control on the performance and functionalities of the resulting heterostructure device [3].","","978-1-5090-6328-4","10.1109/DRC.2017.7999484","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7999484","","Two dimensional displays;Ink;Graphene;Power lasers;Optical device fabrication;Optical sensors;Optical switches","CMOS integrated circuits;conducting polymers;flexible electronics;ink jet printing","mechanical flexibility;optical transparency;electrostatic control;flexible electronics;liquid-phase exfoliation;inkjet printing;conductive polymers;printable electronics;CMOS technology;printed devices;formulation engineering;water-based 2D-crystal inks","","","","6","","3 Aug 2017","","","IEEE","IEEE Conferences"
"Aerosol-Jet Printed Interconnects for 2.5 D Electronic and Photonic Integration","A. Elmogi; W. Soenen; H. Ramon; X. Yin; J. Missinne; S. Spiga; M. -C. Amann; A. Srinivasan; P. De Heyn; J. Van Campenhout; J. Bauwelinck; G. Van Steenberge","Centre for Microsystems Technology, Ghent University-IMEC, Ghent, Belgium; IDLab Department of Information Technology, Ghent University-IMEC, Ghent, Belgium; IDLab Department of Information Technology, Ghent University-IMEC, Ghent, Belgium; IDLab Department of Information Technology, Ghent University-IMEC, Ghent, Belgium; Centre for Microsystems Technology, Ghent University-IMEC, Ghent, Belgium; Walter Schottky Institute, Technische Universität München, Garching, Germany; Walter Schottky Institute, Technische Universität München, Garching, Germany; IMEC, Leuven, Belgium; IMEC, Leuven, Belgium; IMEC, Leuven, Belgium; IDLab Department of Information Technology, Ghent University-IMEC, Ghent, Belgium; Centre for Microsystems Technology, Ghent University-IMEC, Ghent, Belgium","Journal of Lightwave Technology","29 Jun 2018","2018","36","16","3528","3533","We demonstrate a flexible face-up 2.5 D packaging technique for a hybrid electro-photonic integration. The process is based on an aerosol-jet technology to print the high-speed electrical interconnects between electronic and photonic chips as a potential alternative for the traditional bonding wires. The technology is realized by creating a transparent mechanical polymer support to bridge the gap between the photonic and electronic chips and subsequently printing the electrical interconnects on top. First, the daisy-chain test chips were used to prove the functionality of the technology by printing the electrical interconnects between the test chips. Then, a standard 85 ° C/85 RH test was performed to investigate the reliability of the printed interconnects and no failure or degradation was observed over 700 h. Afterwards, the technology was successfully applied on functional chips. An optical transmitter based on vertical cavity surface emitting lasers (VCSELs) was demonstrated at 50 Gb/s by printing 200-μm-long high-speed silver interconnects between a 4-channel SiGe BiCMOS driver and four VCSELs. In addition, the technology showed the potential to interconnect silicon photonics chips. An assembly of an electro-absorption modulator (EAM) and a CMOS driver was successfully demonstrated. Clear open eye diagrams were obtained at 40, 50, and 56 Gb/s for the EAM-driver assembly even after 2 km of a standard single-mode fiber.","1558-2213","","10.1109/JLT.2018.2848699","Special Research Fund of Ghent University(grant numbers:BOF14/GOA/034); European Commission through the FP7 Project Phoxtrot(grant numbers:318240); H2020 Project Teraboard(grant numbers:688510); Hercules Foundations Flanders(grant numbers:ZW11-15: Helicom); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387841","Aerosol-jet printing (AJP);electro-photonic integration;electrical interconnects;VCSEL;CMOS driver;electro-absorption modulator (EAM)","Vertical cavity surface emitting lasers;Printing;Silver;Aerosols;Photonics;Ink;Optical transmitters","aerosols;BiCMOS integrated circuits;driver circuits;electroabsorption;electro-optical modulation;Ge-Si alloys;integrated circuit interconnections;integrated optics;integrated optoelectronics;optical fibre communication;optical interconnections;optical transmitters;silicon;silver;surface emitting lasers","standard single-mode fiber;EAM-driver assembly;high-speed silver interconnects;vertical cavity surface emitting lasers;optical transmitter;flexible face-up 2.5 D packaging technique;2.5 D electronic integration;aerosol-jet technology;hybrid electro-photonic integration;aerosol-jet printed interconnects;electro-absorption modulator;silicon photonics chips;4-channel SiGe BiCMOS driver;functional chips;standard 85 ° C/85 RH test;daisy-chain test chips;transparent mechanical polymer support;traditional bonding wires;electronic chips;high-speed electrical interconnects;temperature 85.0 degC;time 700.0 hour;size 2.0 km;bit rate 40 Gbit/s;bit rate 50 Gbit/s;bit rate 56 Gbit/s;SiGe","","8","","19","IEEE","18 Jun 2018","","","IEEE","IEEE Journals"
"Fast-Switching Printed Organic Electrochemical Transistors Including Electronic Vias Through Plastic and Paper Substrates","J. Kawahara; P. A. Ersman; K. Katoh; M. Berggren","Department of Printed Electronics, Acreo Swedish ICT AB, Norrkoping, Sweden; Department of Printed Electronics, Acreo Swedish ICT AB, Norrkoping, Sweden; Research and Development Strategy Department, Lintec Corporation, Saitama, Japan; Department of Science and Technology, Linköping University, Norrkoping, Sweden","IEEE Transactions on Electron Devices","16 May 2013","2013","60","6","2052","2056","A novel vertical architecture for all-printed organic electrochemical transistors, based on poly(3, 4-ethylenedioxythiophene):poly(styrene sulfonate), realized on flexible substrates, is reported. The transistors are manufactured along both faces of plastic or paper substrates and via connections are realized using laser ablation or simple punch through using a pin. Successful modulation of the electric current that flows between the two sides of the substrate is achieved using electrolyte-gating and electrochemical modulation of the electronic charge transport of the bulk of the transistor channel. In addition to this, the transistors are exhibiting fast switching and high ON/OFF current ratios.","1557-9646","","10.1109/TED.2013.2258923","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6515640","Electrochemical transistors;electronic vias;flexible printed circuits;organic semiconductors","Substrates;Switches;Transistors;Electrodes;Logic gates;Positron emission tomography","electrochemical devices;electrolytes;flexible electronics;laser ablation;organic field effect transistors;paper;plastics;polymers;vias","fast-switching printed organic electrochemical transistors;electronic vias;paper substrates;plastic substrates;all-printed organic electrochemical transistors;vertical architecture;poly(3, 4-ethylenedioxythiophene):poly(styrene sulfonate);flexible substrates;laser ablation;electric current modulation;electrolyte-gating;electrochemical modulation;electronic charge transport;transistor channel;high ON-OFF current ratios","","21","1","21","","16 May 2013","","","IEEE","IEEE Journals"
"Copper Electroplating Processes for Advanced HDI Applications","S. Dharmarathna; T. Clark; C. Bae; E. Kil; A. Bang; M. Sy; R. Yeh; K. Feng","MacDermid Alpha Electronics Solutions, Waterbury, CT 06702, USA; MacDermid Alpha Electronics Solutions, Waterbury, CT 06702, USA; MacDermid Alpha Electronics Solutions, Ansan-si, Gyeonggi-Do, Korea; MacDermid Alpha Electronics Solutions, Ansan-si, Gyeonggi-Do, Korea; MacDermid Alpha Electronics Solutions, Ansan-si, Gyeonggi-Do, Korea; MacDermid Alpha Electronics Solutions, Taoyuan City 32063, Taiwan; MacDermid Alpha Electronics Solutions, Taoyuan City 32063, Taiwan; MacDermid Alpha Electronics Solutions, Waterbury, CT 06702, USA","2019 14th International Microsystems, Packaging, Assembly and Circuits Technology Conference (IMPACT)","5 Mar 2020","2019","","","84","87","The design requirements of circuitry for 5G communications technology is requiring new manufacturing techniques to be implemented. These techniques, such as high density interconnects (HDI) for printed circuit boards (PCBs) make the devices less expensive and allow for more functionality to be packed into ever decreasing dimensions. The advantages of HDI PCBs are numerous and include finer copper traces, thinner and more flexible base materials and laser drilled via holes. HDI PCBs have played a crucial role in creating miniature smartphones and other embedded subsystems and the demands of 5G technology are pushing the limits of HDI technology even further. Researchers in the electronics manufacturing space are highly motivated to formulate solutions for the HDI market, especially acid copper via fill solutions to meet the market demands.Two innovative DC acid copper micro-via fill plating electrolytes are discussed in this paper. One is for an advanced tenting process and the other is for modified semi additive process (mSAP), with VCP (Vertical Continues Plating) applications. These two acid copper via fill processes can provide fine line resolution from the range of 35 μm to 20 μm, which enables makers of 5G smartphones and other demanding gadgets to achieve unprecedented densities while offering superior geometries with exacting impedance control for their high frequency operation. The electrolyte for advanced tenting process has distinctly rapid filling performance, which allows this electrolyte to plate very thin copper on the surface while filling the vias. For example, 125×75 μm vias are seamlessly filled with only 10 μm of Cu on the surface. The advantage with such thin plated copper is to eliminate copper reduction process, thus eliminating the issue of V-pitting which originates in the half-etch step. Advanced advanced tenting process is still a subtractive process, which allows the fabricators to use current equipment and a similar process to manufacture advanced HDI PCBs. The electrolyte for mSAP can fill blind micro-vias and plate through holes simultaneously. This feature resolves the copper plating challenge having to fill micro-vias or to plate through holes using separate processes. The “additive” nature of mSAP is such that copper plated on a much thinner base copper layer, with the thin base copper layer then etched away in what is called the flash etch step. This process offers copper traces that can be prepared with much greater precision, in straight vertical lines, yielding a rectangular-shaped lines that better maximize circuit density and enable accurate impedance control with lower signal loss. This paper discusses the capabilities from these two plating processes.","2150-5942","978-1-7281-6070-2","10.1109/IMPACT47228.2019.9024954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9024954","","Copper;Plating;Electrolytes;Surface treatment;Additives;Filling;5G mobile communication","copper;electroplating;integrated circuit interconnections;integrated circuit packaging;printed circuit design;printed circuit manufacture;vias","advanced tenting process;modified semiadditive process;mSAP;VCP applications;high frequency operation;plated copper;copper reduction process;subtractive process;blind microvias;copper plating;separate processes;copper traces;circuit density;copper electroplating processes;advanced HDI applications;5G communications technology;manufacturing techniques;high density interconnects;printed circuit boards;miniature smartphones;HDI technology;electronics manufacturing space;HDI market;flexible base materials;base copper layer;advanced HDI PCB;rapid filling performance;vertical continues plating;microvia fill plating electrolytes;innovative DC acid copper;5G technology;electronics manufacturing;5G smartphones;V-pitting;mSAP electrolyte;rectangular-shaped lines;impedance control;size 20.0 mum to 35.0 mum;Cu","","2","","5","","5 Mar 2020","","","IEEE","IEEE Conferences"
"Simulation of an optical model sensor for the pinhole/occulter facility","Y. Chen; M. Greene","Department of Electrical Engineering, Aubum University, AL, USA; Department of Electrical Engineering, Aubum University, AL, USA","[1990] Proceedings. The Twenty-Second Southeastern Symposium on System Theory","6 Aug 2002","1990","","","349","353","An optical modal control sensor (MCS) for use in vibration control of the pinhole/occulter facility (P/OF) has been designed and simulated. The MCS system comprises a He-Ne laser source, linear zone plates, linear photodiode arrays, and sample/hold and A/D converting circuits. The flexible modes of P/OF are detected by the deflection of the image focused by the zone plates. Three algorithms for laser beam centroid estimation are investigated: linear three point centroid, quadratic three point centroid, and probability density centroid. A comparison of estimating errors as functions of centroid location and beam size for the three different methods is made. These simulations account for the nonuniform response of the photodiode pixels.<>","0094-2898","0-8186-2038-2","10.1109/SSST.1990.138169","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=138169","","Optical sensors;Optical control;Laser modes;Photodiodes;Laser beams;Vibration control;Optical design;Circuit simulation;Optical arrays;Image converters","aerospace control;CCD image sensors;photodetectors;vibration control","optical model sensor;pinhole/occulter facility;vibration control;He-Ne laser source;linear zone plates;linear photodiode arrays;sample/hold;A/D converting circuits;laser beam centroid estimation;linear three point centroid;quadratic three point centroid;probability density centroid","","","","5","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Programmable Integrated Silicon Photonics Waveguide Meshes: Optimized Designs and Control Algorithms","D. P. López","Photonics Research Labs, Universitat Politècnica de València and iPronics Programmable Photonics S.L., Valencia, Spain","IEEE Journal of Selected Topics in Quantum Electronics","19 Nov 2019","2020","26","2","1","12","Programmable Integrated Photonics is a recent area of research that aims to integrate a very-large scale of reconfigurable photonic components to enable flexible and versatile photonic integrated circuits. In this paper, we review the state of the art of general-purpose waveguide mesh arrangements with a special focus on those that allow the synthesis of optical feedback loops. Moreover, we propose for the first time, a new design approach to generate waveguide mesh patterns with equally-oriented components. This innovation is of special relevance to improve performance and to mitigate one of the main scalability limitations, the integration density. The paper finalizes with an introduction to control algorithms for waveguide mesh arrangements based on derivative methods and non-derivative methods. These control methods provide a proof for the self-reconfiguration of large-scale waveguide mesh arrangements. In particular, we apply the computational optimization algorithms to program a hexagonal waveguide mesh to emulate a 1 × 8 beamforming network and an optical filter based on an unbalanced MZI design. All in all, the paper comprises recipes to achieve truly practical software-defined photonic integrated circuits.","1558-4542","","10.1109/JSTQE.2019.2948048","UMWP-Chip(grant numbers:ADG-2016); FPPA(grant numbers:PoC-2019); Generalitat Valenciana PROMETEO(grant numbers:2017/017); EUIMWP(grant numbers:CA16220); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8873623","Programmable photonics;reconfigurable circuits;signal processing;integrated circuits;control algorithms","Optical waveguides;Topology;Photonics;Optical interferometry;Integrated circuit interconnections;Optical interconnections;Optical filters","elemental semiconductors;integrated optics;optical design techniques;optical feedback;optical waveguide filters;optical waveguides;optimisation;silicon","optical feedback loops;waveguide mesh patterns;equally-oriented components;integration density;control algorithms;derivative methods;nonderivative methods;control methods;large-scale waveguide mesh arrangements;computational optimization algorithms;hexagonal waveguide mesh;unbalanced MZI design;truly practical software-defined photonic integrated circuits;reconfigurable photonic components;versatile photonic integrated circuits;general-purpose waveguide mesh arrangements;programmable integrated silicon photonics waveguide meshes;optimized designs;flexible photonic integrated circuits;optical filter;1 × 8 beamforming network;Si","","14","","36","CCBY","17 Oct 2019","","","IEEE","IEEE Journals"
"Integrated photonic devices in III-V semiconductors for optical communications","M. J. Wale","Oclaro Technology Ltd., Caswell, Towcester, Northamptonshire, UK","2013 Conference on Lasers & Electro-Optics Europe & International Quantum Electronics Conference CLEO EUROPE/IQEC","21 Apr 2014","2013","","","1","1","The success of the internet in stimulating new services has resulted in an exponentially growing demand for transmission capacity with a compound annual growth rate as high as 40-60% per annum [1]. Such a rapid growth rate cannot be accommodated by simple scaling of existing equipment practices: not only the cost but also the size and power consumption would be prohibitive. Technical innovation has provided the solution: optical fibre links in the core network now routinely run at 10 Gbit/s per wavelength, providing a total capacity in the region of 1 Tbit/s on a single fibre through the deployment of wavelength division multiplexing (WDM), whilst data rates of 40 Gbit/s and 100 Gbit/s per wavelength are increasingly employed. With the adoption of advanced modulation formats and coherent systems, 100 Gbit/s can now be transmitted over fibre infrastructure that was designed for 10 Gbit/s [2], while tunable lasers and reconfigurable optical add-drop multiplexers (ROADMs) allow network operators to reroute traffic in a highly flexible and dynamic manner, allowing optimum use of their assets. Optical terminal equipment in modern systems is accordingly much more complex than was possible hitherto, whilst size, power and cost have been continuously reduced. An important enabling factor in achieving these objectives is the availability of monolithic photonic integrated circuit (PIC) technology.","","978-1-4799-0594-2","10.1109/CLEOE-IQEC.2013.6801456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6801456","","Optical transmitters;Modulation;Optical fibers;Photonics;Integrated optics;Indium phosphide;Optical fiber communication","III-V semiconductors;integrated optics;integrated optoelectronics;lasers;multiplexing equipment;optical communication equipment;optical links;wavelength division multiplexing","integrated photonic devices;III-V semiconductors;optical communication;internet;transmission capacity;compound annual growth rate;power consumption;optical fibre links;single fibre;wavelength division multiplexing;WDM;tunable lasers;reconfigurable optical add-drop multiplexers;optical terminal equipment;modern systems;monolithic photonic integrated circuit technology","","","","7","","21 Apr 2014","","","IEEE","IEEE Conferences"
